key,tab,kind,text,standalone,topic,parent,x,y,type,direction,rowkind,value,measured_by,where_found,etype,erq,erp,if_true,if_false,latest,bridge,bottom_line,hook,question,ask,positivity,strength,form
barring-members-congress-president,1,belief,Barring members of Congress and the president from owning or trading individual stocks would reduce the use of public office for private gain.,,public-office-private-gain,public-office-usable-private,,,,,,,,,,,,,,,,"The conflict is documented and the disclosure regime demonstrably fails. Whether a ban removes the conflict or relocates it into spouses, partnerships and the revolving door is the open question. It is one of three load-bearing components all sitting at the neutral start, and while they sit there any one of them caps what this page can read, however far the evidence carries the argument.","Members of Congress trade in the industries their own committees oversee, and the penalty for filing late is a $200 fee that is routinely waived.","Would barring members of Congress and the president from holding individual stocks reduce the use of office for private gain, or move the money somewhere the rule cannot see?",,65,Moderate,"(Officials' holdings currently influence official decisions) AND (removing the holdings removes the influence rather than relocating it) AND (a ban can be enacted and enforced). The normative component, that reducing conflicts is worth a narrower candidate pool, is separable."
barring-president-members-congress,2,belief,Barring the president and members of Congress from giving any official government function to a family member would reduce the use of public office for private gain.,,public-office-private-gain,public-office-usable-private,,,,,,,,,,,,,,,,"The legal gap is documented and the supervision problem is real. The page turns on whether a bar removes the conflict or converts a disclosed adviser into an undisclosed one. All three load-bearing components sit at the neutral start, so nothing has been established here yet and nothing is capping anything: the work is to argue them.",The anti-nepotism statute stops at the White House door.,Would barring the president and members of Congress from handing official functions to relatives reduce the use of office for private gain?,,60,Moderate,(Relatives in official roles produce conflicts that ordinary supervision cannot check) AND (a bar removes those conflicts rather than driving them out of view) AND (Congress can impose the bar on the White House). The third component is where the legal fight is.
requiring-president-members-congress,3,belief,Requiring the president and members of Congress to publish their tax returns would reduce the use of public office for private gain.,,public-office-private-gain,public-office-usable-private,,,,,,,,,,,,,,,,"The documentary claim is the strongest part: returns do carry conflict-relevant facts the disclosure form omits. What nobody can show is that publishing them changes anything. All three load-bearing components sit at the neutral start, so what this page needs is not more evidence for the conclusion but an argument for each of its parts.",Every president from Carter through Obama published tax returns without a law requiring it.,"Would requiring the president and members of Congress to publish their tax returns reduce the use of office for private gain, or expose spouses and partners for little in return?",,55,Moderate,"(Returns contain conflict-relevant information the disclosure form lacks) AND (publishing it changes behavior or enables a check) AND (a publication requirement can be imposed). The first is documentary, the second is contested, the third is narrower than the usual objection assumes."
letting-congress-overturn-presidential,4,belief,Letting Congress overturn a presidential pardon by a two-thirds vote of both chambers would reduce the use of the pardon power for private gain.,,public-office-private-gain,public-office-usable-private,,,,,,,,,,,,,,,,"The gap is real: clemency is the only federal power with no check, and grants to the president's own circle are documented in both parties. All three load-bearing components sit at the neutral start, so any one of them caps the page. The one to argue first is not the constitutional objection but whether an override could ever be exercised at a two-thirds threshold against a president whose own party holds a third of either chamber.","A pardon is final the moment it is signed, and no other executive power has so little standing over it.",Would letting Congress overturn a pardon by a two-thirds vote of both chambers reduce the use of the pardon power for private gain?,,70,Moderate,"(Some pardons are granted for the president's private benefit) AND (a congressional override would deter or reverse those grants) AND (an override can be enacted). The third component is legal rather than empirical, and it is the one most likely to hold this page down once all three have been argued."
public-office-usable-private,5,belief,Public office should not be usable for private gain.,,public-office-private-gain,,,,,,,,,,,,,,,,,"Held nearly universally at this level of generality, which is why the argument always moves to the specific rules below it.","Every federal ethics statute since the 1962 reforms rests on one sentence, and the sentence itself is rarely argued.","Should public office be unusable for private gain, without exception, or are there gains an officeholder may keep?",,80,Strong,
every-federal-ethics-statute,6,claim,"Every federal ethics statute since the 1962 conflict-of-interest reforms rests on this principle, so rejecting it would unsettle the whole body of law rather than one rule.",,,public-office-usable-private,,,,,,,,,,,,,,,,True as legal history; that is a weaker claim than the principle itself.,,,,,,
if-office-can-used,7,claim,"If office can be used for private gain, decisions go to whoever pays the most rather than to whoever is right, which is the definition of a government that does not work.",,,public-office-usable-private,,,,,,,,,,,,,,,,The mechanism is right in the extreme case; the size of the effect at low levels of self-dealing is not established here.,,,,,,
rare-principle-supermajority-agreement,8,claim,"It is the rare principle with supermajority agreement across parties: 86 percent of registered voters backed a congressional stock trading ban, including 87 percent of Republicans and 88 percent of Democrats.",,,public-office-usable-private,,,,,,,,,,,,,,,,"Well measured for the stock trading case; it says what people want, not what is right.",,,,,,
stated-level-principle-decides,9,claim,"Stated at this level the principle decides nothing, because every real dispute is about what counts as ""gain"" and what counts as ""using"" the office.",,,public-office-usable-private,,,,,,,,,,,,,,,,"A real objection to using the principle as a decision rule, not to holding it.",,,,,,
taken-literally-bar-anyone,10,claim,"Taken literally it would bar anyone who owns anything from serving, which would leave office to people with no stake in the country they govern.",,,public-office-usable-private,,,,,,,,,,,,,,,,A reductio that the drafted versions of these rules already avoid.,,,,,,
